,George:unzip_reference,George:makeBWAIndex,George:makeBT2Index,George:makeFastaIndex,George:makeSeqDict,George:convertBam,George:indexinputbam,George:fastqc,George:fastp,George:adapter_removal,George:post_ar_fastq_trimming,George:lanemerge,George:lanemerge_hostremoval_fastq,George:fastqc_after_clipping,George:bwa,George:bwamem,George:circulargenerator,George:circularmapper,George:bowtie2,George:hostremoval_input_fastq,George:seqtype_merge,George:samtools_flagstat,George:samtools_filter,George:samtools_flagstat_after_filter,George:endorSpy,George:dedup,George:markduplicates,George:library_merge,George:preseq,George:bedtools,George:damageprofiler,George:mapdamage_rescaling,George:pmdtools,George:bam_trim,George:additional_library_merge,George:qualimap,George:genotyping_ug,George:genotyping_hc,George:genotyping_freebayes,George:genotyping_pileupcaller,George:eigenstrat_snp_coverage,George:genotyping_angsd,George:bcftools_stats,George:vcf2genome,George:multivcfanalyzer,George:mtnucratio,George:sexdeterrmine_prep,George:sexdeterrmine,George:nuclear_contamination,George:print_nuclear_contamination,George:metagenomic_complexity_filter,George:malt,George:maltextract,George:decomp_kraken,George:kraken,George:kraken_parse,George:kraken_merge,George:output_documentation,George:get_software_versions,George:multiqc
George:get_test_data,0.037902983616391994,0.03219311618197873,0.03317347096337142,0.03334783990502821,0.0334367219532965,0.039723313296218365,0.08210126406388296,0.027893357032632293,0.021376878665445576,0.028606595479780283,0.02105912056774306,0.03497321092957206,0.03622799988424774,0.032079747158572425,0.03781506981397276,0.048125604598675875,0.042757406710436596,0.03842436269764549,0.026743785520823127,0.029134445065066017,0.04040655584440245,0.03254858477384859,0.03696988380040256,0.03164415053451941,0.02856778128602533,0.04734309440424411,0.05204229413195449,0.03927161173673033,0.039962808684900986,0.025190750750494484,0.03713708617435463,0.05619501315992581,0.03049259300899354,0.04941563301822982,0.05838069230034659,0.06667309645116704,0.039622564356667334,0.02439912910824482,0.06210193704485767,0.041055346908862034,0.03063554010985514,0.03807819430945125,0.03348464626145453,0.04613935632555821,0.05408643869453733,0.032726524750352426,0.03944159667054792,0.0652914657446877,0.02049423996728661,0.039881874945089435,0.02895550467737018,0.04337303933296277,0.04220233699261644,0.03724695584159221,0.03579873343827911,0.03921904504576179,0.04329421785529064,0.03714605178869301,0.01658467777679029,0.047472389290766026
George:data_integrity,0.0536559642624016,0.03293404701902769,0.03369455794872256,0.03330074774243008,0.033692794569844975,0.05382373962749065,0.06714090612172852,0.04592651042788054,0.03877511101863795,0.03662377952081819,0.03621237619084061,0.035644492648061465,0.03150332179638149,0.050429556179333423,0.05350624138942239,0.06673487263331213,0.051143849212759385,0.058561668649414256,0.031756862000437036,0.04530240204271718,0.03690303564818098,0.03327234464675355,0.05260611383243685,0.0324716484200005,0.030387425887013486,0.05291041767275395,0.05038843343882338,0.03981883282386467,0.04628390718409303,0.04530784323032655,0.055143371986181355,0.06898132087028186,0.03176040241338729,0.062210503383252624,0.05550154821678355,0.07078529725008831,0.05709928343268256,0.04044108682339198,0.0832088005624585,0.051754655772309865,0.031798238435907455,0.043686458175051346,0.03396428599227164,0.0585141838690163,0.06619235594541828,0.0332867799084543,0.03222342103441689,0.06103850374729147,0.039785312946422846,0.03881948381488842,0.030500231472372463,0.054204978823954475,0.06931219222936724,0.04114565797610059,0.04398001430960552,0.043325993983841404,0.04235216187170976,0.03700921813291391,0.020333270523420932,0.046047233814503374
George:q2_import,0.022242823269345013,0.03596925297626885,0.03685254024376816,0.03706565614728974,0.037123290009580034,0.035436617836755224,0.02945384800788553,0.03155172730431377,0.024042712518334564,0.021077633313039468,0.02338933252061215,0.03609634900255976,0.03252308624971123,0.035026135811142,0.025577079096744337,0.030817637082433125,0.03476517527649414,0.026335250975660474,0.019312052217565934,0.023670766647212904,0.017529270604983438,0.04790441529406464,0.02639995412306162,0.04708345408556858,0.030519956082956323,0.025538065101284868,0.027308489484205722,0.020482201921024012,0.024526266677728614,0.03724695584159221,0.02858137762512536,0.027111716640987327,0.021976897551737706,0.023991938794975853,0.02682151412118594,0.030383452080153472,0.023261789534593902,0.02621344360552391,0.03768384610863873,0.022254450403904946,0.03201527634932755,0.025613864906168682,0.04732446845592919,0.023099880317832833,0.027217012379723626,0.03424243533000504,0.03335589463014832,0.03931216641215496,0.023672104820649853,0.03956992217078126,0.030942052846264834,0.023782793956526715,0.02337454868314981,0.022867002998270047,0.03661784990785921,0.023745027154810194,0.031648611336114185,0.03757373084749571,0.024328947723659566,0.02188683895941823
George:q2_cutadapt,0.03817764685264469,0.04030893280991488,0.041422919291231874,0.04178912398744694,0.04179145296312847,0.03945986484610198,0.032809976227892834,0.04193894107226137,0.03463294804191264,0.022142561513065706,0.03236249105322908,0.030314668381058785,0.02549360597556949,0.046610487523593536,0.027291800509501973,0.033261276261999484,0.03852086031892554,0.028051478131483898,0.016791308363132473,0.03391160615730793,0.018860496277259164,0.03860089774743225,0.02810393497048147,0.03768204890365501,0.03414591176156945,0.034324890550863296,0.029619637477480754,0.022010134020968297,0.02657159549360455,0.03048806117703773,0.031483689921362634,0.029562685058625804,0.01937844437373437,0.0333185236486816,0.029407520169410617,0.04317306919414843,0.03012498248759199,0.03649729613397701,0.04106930883998949,0.023794280026105064,0.03568764338132513,0.027322238837027335,0.03876426929183896,0.03170345346310688,0.03691163745994308,0.03887641197530389,0.03816462975461099,0.03414987935791114,0.02603119379670904,0.045340615757971325,0.034661425172708205,0.03120644953946361,0.03055669484151946,0.025619873651541836,0.039991328083936684,0.026660084592425526,0.0359735625053782,0.04319702196559294,0.01941176470588235,0.023427555353068064
George:q2_dada2,0.028284586566238556,0.030509242987391993,0.03113408261847972,0.031119668996739014,0.03126609134183844,0.030111232843425095,0.025174908385224515,0.03335589463014832,0.02791030455138277,0.019588248700359245,0.0266575707565746,0.02407251093219842,0.01987663628657843,0.036671330517593304,0.02323568567759826,0.027528037943119643,0.02997788637883525,0.023985186675764658,0.014732443408459694,0.027424410935697696,0.01576050662762407,0.028387366576704487,0.024052411168957955,0.02786479475096648,0.02596017069701284,0.028557702173066524,0.02427124238717404,0.018451475341634938,0.021861344837416086,0.023787889548467667,0.02481817844483314,0.02392362497880618,0.016854900011098017,0.02731013567822238,0.023485254622101603,0.0341220931114693,0.025733457737464827,0.029798727389716007,0.03314213730500137,0.02018160008360792,0.027347637811863557,0.02327359872926016,0.029081280269368404,0.02617125509571916,0.030341394031683677,0.028495831887430434,0.027468384182718575,0.02683484620816312,0.020611702127659615,0.0326091540624156,0.02623299396122991,0.02627798365181544,0.025800832212117042,0.019438360731764304,0.032100482534343944,0.020076629694348425,0.026407230598978648,0.030852944614158107,0.017420835237429655,0.019756300474630062
George:q2_dbotu3,0.020999974142348332,0.0337500047842495,0.03456355775976272,0.03519981610022105,0.03499561692328157,0.02334362443922111,0.027696562643438227,0.027588743075288136,0.0225910302515705,0.016996601541340306,0.022005187220673794,0.0258564540617916,0.02171477926594545,0.030712934403567704,0.019599430777180404,0.023083910369508187,0.03254615710792508,0.02045886060664226,0.015211201704261601,0.022234694145121803,0.016563054736785876,0.03203672813224767,0.02041723572205778,0.031453216432150155,0.02856778128602533,0.024086063315486683,0.02569420244656706,0.01934185922861198,0.023011674472271593,0.025866477927061204,0.0269016409469085,0.025443031566536822,0.017434974096068978,0.022547488448142583,0.02513308812547721,0.02842631623926639,0.02204523148712656,0.024700953631859535,0.027827756263402947,0.02108956840148679,0.03006909269371494,0.019582256296257983,0.03240139998320679,0.021706170429764637,0.025599331464385866,0.03232637125915372,0.03150332179638149,0.028742271115990592,0.022275936371500382,0.03699080487656281,0.029129833695813123,0.02242099835354372,0.02204523148712656,0.021349245367423775,0.026645438728717163,0.02232252958887071,0.029366534307837533,0.0349773585338049,0.017968878227321627,0.020921957515331546
George:q2_dada2_merge,0.027810140383583537,0.03942615448134379,0.040547697266134164,0.04162608158552916,0.04120409481574694,0.02701732094260112,0.029438977067758443,0.033594219445603146,0.025488477428452172,0.018255949449619946,0.022501285965920492,0.026995094576388712,0.024887626668084972,0.032633142272796234,0.021506643418861104,0.025707264897894988,0.03488461745257032,0.020727126595045053,0.016370507676517265,0.025049560720113773,0.018296661230281286,0.03806030344121192,0.020681802917853154,0.03725562515175451,0.03324331106607625,0.02480168363317925,0.026649664555828956,0.02133663094407512,0.023610676466036318,0.029658947854919515,0.030677691228772286,0.028609362542145522,0.01742803418810912,0.02523364622877733,0.028460556461993747,0.03238376453352021,0.02247032607218835,0.02557229601740263,0.02915237590455222,0.021427580755820297,0.03222413281128489,0.019766392421043055,0.03804198130691072,0.024216623935381598,0.026538218378462597,0.03850512678949736,0.03792772657264376,0.035421912593597726,0.025324588597261277,0.047802534301118915,0.034001614954991766,0.022913292898019244,0.02430182348727139,0.024832171531122715,0.02784813164020894,0.026074582408383118,0.034841217846456884,0.042247846637086806,0.019075699256942635,0.022977190558578497
George:q2_taxonomy,0.028699740499046222,0.028844979955187533,0.029448987339655397,0.02949275406499452,0.029600530292045235,0.030543006673220408,0.023450006897970166,0.03385251652662913,0.02832268487232459,0.020993743821321242,0.028861129775843097,0.026538218378462597,0.020224215220059905,0.03519267925026659,0.022005861124097414,0.026162333907703728,0.02842631623926639,0.024299154727031813,0.01369987306762066,0.02783063736786695,0.016002718139256578,0.028938455239081784,0.025845485448611427,0.028387366576704487,0.02646412679308785,0.02726020152277031,0.022903281257718233,0.018736503313381836,0.02046401275534737,0.024221740634048028,0.029334673632930963,0.02434083679158039,0.015786278242691743,0.027711737472659204,0.023908009347609505,0.034665522669020454,0.02756210660982905,0.028402071281072083,0.03173392393408303,0.01897771922075564,0.02566855545714375,0.022049343398165555,0.02963761838008938,0.026556363057891996,0.032593590813793316,0.029037320743697914,0.028000041939636455,0.027365607649965984,0.020970441963430786,0.03330074774243008,0.02672036710557235,0.028289083858019093,0.027781578153944442,0.019820323000369844,0.030634156322346562,0.020451968783243513,0.026979952247755512,0.031531501745892476,0.018695248392746944,0.020015323676874974
George:q2_filtering_tax,0.020208530754185605,0.030375426367662328,0.031078729695922513,0.031586503346942685,0.031439171193768045,0.022595837641212646,0.02464086478548677,0.026943788624539722,0.02210701990736008,0.015647261006605073,0.019812389990228274,0.02323568567759826,0.02110572867425098,0.02792814068633953,0.01779514317119757,0.020930662848546944,0.029547661276480564,0.018697898942229396,0.01383399615721026,0.021772594880277718,0.016300031357603273,0.030784032407258244,0.018670350815304992,0.030221961248634854,0.027691610940789313,0.021991770326178495,0.023438282104433328,0.01904898204091654,0.020847737462574067,0.025174908385224515,0.026208902518632393,0.024941079971426028,0.01594742030417806,0.022128836030224863,0.024588032372745317,0.02776668278240002,0.020264417207999763,0.02240267453336464,0.025355750596980142,0.01928411102310479,0.0269414638109432,0.017785484982637434,0.03127094228699012,0.021328957513522373,0.023350510110172196,0.031005620735190198,0.030104143404927508,0.028107678758847454,0.021726275697111053,0.035471030376402424,0.028150406686483387,0.02046731540751623,0.02012551062196044,0.020713942607868074,0.024130382397245187,0.021571182344338857,0.02836503910636079,0.03355283900425743,0.017792616490037272,0.02054200534571693
George:microDecon_step1,0.01932646409194505,0.03195585889697583,0.032616655866609334,0.03220295855819166,0.032589280585497926,0.030650050603424406,0.026307929416779063,0.02895406027407066,0.022156549906097833,0.02024486191150221,0.0218301069842034,0.03254853433957561,0.02864313211084668,0.032032061929712974,0.024111848275720216,0.02859235304923269,0.048779659143144305,0.03376023634519876,0.01850894865198549,0.02186420848894477,0.016489466822653287,0.04015145132897091,0.024912410066361135,0.039441645641209444,0.02724142483238412,0.029593062932974812,0.025474892754442147,0.019328088985914094,0.028393141992001714,0.0329739487741979,0.033898765859989965,0.03162412393839287,0.021008292019855324,0.022347428864103902,0.024699177580785103,0.027836794497641648,0.026667648300596425,0.03078169856595281,0.03429949977684921,0.025800832212117042,0.03768806756466636,0.0241280769368466,0.04036122339187731,0.02161210742326125,0.02540816748007446,0.029616498169409256,0.028506972000715836,0.035631377553135835,0.028904700175185094,0.03421691175661046,0.027365169173797277,0.027330660947154306,0.02683835220486186,0.020421801554180496,0.03318520970390515,0.020934709842749144,0.027893357032632293,0.03247857663275133,0.02061997060235765,0.020427401055188477
