Channel with too many inputs/outputs :
 In workflow :3; Channel :65 too many inputs/outputs :{'workflow': 3, 'process': [64], 'operation': [5, 13]}
 In workflow :3; Channel :82 too many inputs/outputs :{'workflow': 3, 'operation': ['output', 'output']}
 In workflow :3; Channel :83 too many inputs/outputs :{'workflow': 3, 'process': [], 'operation': [7, 15, 16]}
 In workflow :3; Channel :84 too many inputs/outputs :{'workflow': 3, 'process': [], 'operation': [8, 15, 18]}
 In workflow :10; Channel :252 too many inputs/outputs :{'workflow': 10, 'process': [250, 261, 265, 270], 'operation': []}
 In workflow :10; Channel :281 too many inputs/outputs :{'workflow': 10, 'process': [], 'operation': [24, 27, 33]}
 In workflow :10; Channel :282 too many inputs/outputs :{'workflow': 10, 'process': [], 'operation': [25, 28, 34]}
 In workflow :10; Channel :283 too many inputs/outputs :{'workflow': 10, 'process': [], 'operation': [26, 29, 35]}
 In workflow :10; Channel :236 too many inputs/outputs :{'workflow': 10, 'process': [232], 'operation': [33, 36]}
 In workflow :10; Channel :242 too many inputs/outputs :{'workflow': 10, 'process': [238], 'operation': [34, 38]}
 In workflow :10; Channel :248 too many inputs/outputs :{'workflow': 10, 'process': [244], 'operation': [35, 40]}
 In workflow :19; Channel :451 too many inputs/outputs :{'workflow': 19, 'process': [450], 'operation': [44, 45]}
 In workflow :19; Channel :488 too many inputs/outputs :{'workflow': 19, 'process': [], 'operation': [45, 46, 47]}
 In workflow :19; Channel :439 too many inputs/outputs :{'workflow': 19, 'process': [438], 'operation': [46, 47, 48]}
 In workflow :19; Channel :443 too many inputs/outputs :{'workflow': 19, 'process': [442], 'operation': [46, 47, 48]}
 In workflow :20; Channel :492 too many inputs/outputs :{'workflow': 20, 'process': [491, 497, 505], 'operation': []}
 In workflow :20; Channel :493 too many inputs/outputs :{'workflow': 20, 'process': [491, 509, 516, 531], 'operation': []}
 In workflow :20; Channel :495 too many inputs/outputs :{'workflow': 20, 'process': ['input', 'input']}
 In workflow :20; Channel :496 too many inputs/outputs :{'workflow': 20, 'process': [494, 519, 525], 'operation': []}
 In workflow :20; Channel :514 too many inputs/outputs :{'workflow': 20, 'process': ['input', 'input']}
