Channel with too many inputs/outputs :
 In workflow :7; Channel :97 too many inputs/outputs :{'workflow': 7, 'process': ['input', 'input']}
 In workflow :7; Channel :100 too many inputs/outputs :{'workflow': 7, 'process': ['input', 'input']}
 In workflow :12; Channel :261 too many inputs/outputs :{'workflow': 12, 'process': [258, 262, 267], 'operation': []}
 In workflow :12; Channel :259 too many inputs/outputs :{'workflow': 12, 'process': [258, 262], 'operation': [100004]}
 In workflow :222; Channel :8415 too many inputs/outputs :{'workflow': 222, 'process': ['input', 'input']}
 In workflow :27; Channel :838 too many inputs/outputs :{'workflow': 27, 'operation': ['input', 'input']}
 In workflow :27; Channel :828 too many inputs/outputs :{'workflow': 27, 'process': [827], 'operation': [100009, 100010, 100011]}
 In workflow :27; Channel :839 too many inputs/outputs :{'workflow': 27, 'process': [], 'operation': [100009, 100010, 100011]}
 In workflow :27; Channel :832 too many inputs/outputs :{'workflow': 27, 'process': ['input'], 'operation': ['input']}
 In workflow :33; Channel :1242 too many inputs/outputs :{'workflow': 33, 'process': ['input', 'input']}
 In workflow :33; Channel :1251 too many inputs/outputs :{'workflow': 33, 'process': ['input', 'input']}
 In workflow :33; Channel :1241 too many inputs/outputs :{'workflow': 33, 'process': [1240, 1253], 'operation': [100013]}
 In workflow :33; Channel :1247 too many inputs/outputs :{'workflow': 33, 'process': [1245, 1257], 'operation': [100014]}
 In workflow :36; Channel :1334 too many inputs/outputs :{'workflow': 36, 'process': [1332], 'operation': [100022, 100023]}
 In workflow :36; Channel :1341 too many inputs/outputs :{'workflow': 36, 'operation': ['input', 'input']}
 In workflow :36; Channel :1330 too many inputs/outputs :{'workflow': 36, 'process': [1329], 'operation': [100024, 100025, 100026]}
 In workflow :36; Channel :1342 too many inputs/outputs :{'workflow': 36, 'process': [], 'operation': [100024, 100025, 100026]}
 In workflow :39; Channel :1434 too many inputs/outputs :{'workflow': 39, 'process': [1432, 1436, 1440], 'operation': []}
 In workflow :222; Channel :8428 too many inputs/outputs :{'workflow': 222, 'process': ['input', 'input']}
 In workflow :44; Channel :1571 too many inputs/outputs :{'workflow': 44, 'process': [1569], 'operation': [100032, 100033]}
 In workflow :44; Channel :1578 too many inputs/outputs :{'workflow': 44, 'operation': ['input', 'input']}
 In workflow :44; Channel :1567 too many inputs/outputs :{'workflow': 44, 'process': [1566], 'operation': [100034, 100035, 100036]}
 In workflow :44; Channel :1579 too many inputs/outputs :{'workflow': 44, 'process': [], 'operation': [100034, 100035, 100036]}
 In workflow :49; Channel :1779 too many inputs/outputs :{'workflow': 49, 'process': [1777], 'operation': [100040, 100041]}
 In workflow :49; Channel :1766 too many inputs/outputs :{'workflow': 49, 'process': [1765], 'operation': [100042, 100045]}
 In workflow :49; Channel :1772 too many inputs/outputs :{'workflow': 49, 'process': [1770, 1773], 'operation': [100044, 100045]}
 In workflow :49; Channel :1778 too many inputs/outputs :{'workflow': 49, 'process': [1777], 'operation': [100044, 100046]}
 In workflow :49; Channel :1780 too many inputs/outputs :{'workflow': 49, 'process': ['output'], 'operation': ['output']}
 In workflow :222; Channel :8441 too many inputs/outputs :{'workflow': 222, 'process': ['input', 'input']}
 In workflow :52; Channel :1891 too many inputs/outputs :{'workflow': 52, 'process': ['output', 'output']}
 In workflow :52; Channel :1922 too many inputs/outputs :{'workflow': 52, 'operation': ['output', 'output']}
 In workflow :55; Channel :2012 too many inputs/outputs :{'workflow': 55, 'process': [2009, 2013, 2014], 'operation': []}
 In workflow :55; Channel :2007 too many inputs/outputs :{'workflow': 55, 'process': [2006], 'operation': [100078, 100079]}
 In workflow :55; Channel :2021 too many inputs/outputs :{'workflow': 55, 'operation': ['input', 'input']}
 In workflow :55; Channel :2010 too many inputs/outputs :{'workflow': 55, 'process': [2009, 2013], 'operation': [100084]}
 In workflow :57; Channel :2059 too many inputs/outputs :{'workflow': 57, 'operation': ['input', 'input']}
 In workflow :57; Channel :2049 too many inputs/outputs :{'workflow': 57, 'process': [2048], 'operation': [100087, 100088, 100089]}
 In workflow :57; Channel :2060 too many inputs/outputs :{'workflow': 57, 'process': [], 'operation': [100087, 100088, 100089]}
 In workflow :57; Channel :2053 too many inputs/outputs :{'workflow': 57, 'process': ['input'], 'operation': ['input']}
 In workflow :61; Channel :2182 too many inputs/outputs :{'workflow': 61, 'process': ['input', 'input']}
 In workflow :61; Channel :2191 too many inputs/outputs :{'workflow': 61, 'process': ['input', 'input']}
 In workflow :61; Channel :2181 too many inputs/outputs :{'workflow': 61, 'process': [2180, 2193], 'operation': [100091]}
 In workflow :61; Channel :2187 too many inputs/outputs :{'workflow': 61, 'process': [2185, 2197], 'operation': [100092]}
 In workflow :62; Channel :2227 too many inputs/outputs :{'workflow': 62, 'process': [2224, 2228, 2229], 'operation': []}
 In workflow :62; Channel :2219 too many inputs/outputs :{'workflow': 62, 'process': [2218], 'operation': [100097, 100098]}
 In workflow :62; Channel :2240 too many inputs/outputs :{'workflow': 62, 'operation': ['input', 'input']}
 In workflow :62; Channel :2225 too many inputs/outputs :{'workflow': 62, 'process': [2224, 2228], 'operation': [100103]}
 In workflow :66; Channel :2283 too many inputs/outputs :{'workflow': 66, 'process': [2282], 'operation': [100108, 100116]}
 In workflow :68; Channel :2341 too many inputs/outputs :{'workflow': 68, 'operation': ['input', 'input']}
 In workflow :68; Channel :2333 too many inputs/outputs :{'workflow': 68, 'process': [2332], 'operation': [100118, 100119, 100120]}
 In workflow :68; Channel :2342 too many inputs/outputs :{'workflow': 68, 'process': [], 'operation': [100118, 100119, 100120]}
 In workflow :68; Channel :2337 too many inputs/outputs :{'workflow': 68, 'process': ['input'], 'operation': ['input']}
 In workflow :71; Channel :2542 too many inputs/outputs :{'workflow': 71, 'process': ['output', 'output']}
 In workflow :71; Channel :2580 too many inputs/outputs :{'workflow': 71, 'operation': ['input', 'input']}
 In workflow :71; Channel :2517 too many inputs/outputs :{'workflow': 71, 'process': [2516], 'operation': [100123, 100124]}
